name of the product,pricing,rating,number of ratings,URL
Zebronics Zeb KM2100 Multimedia USB Keyboard,359,3.5,"5,355",www.amazon.in/Zebronics-Km2100-Multimedia-USB-Keyboard/dp/B077T3BG5L?dchild=1
ZEBRONICS Gaming Multimedia USB Keyboard & USB Mouse Combo -Transformer,"1,199",4.3,"2,739",www.amazon.in/Zebronics-Transformer-Gaming-Multimedia-Keyboard/dp/B07BRKK9JQ?dchild=1
AmazonBasics Wired Keyboard (Black),699,4.4,"7,218",www.amazon.in/AmazonBasics-KU-0833-Wired-Keyboard-Black/dp/B005EOWBHC?dchild=1
HP 100 Wired USB Keyboard,549,4.3,579,www.amazon.in/HP-100-%E0%A4%B5%E0%A4%BE%E0%A4%AF%E0%A4%B0%E0%A5%8D%E0%A4%A1-USB-%E0%A4%95%E0%A5%80%E0%A4%AC%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%A1/dp/B07L4VCBLM?dchild=1
(Renewed) Quantum QHM7403D Spill-Resistant Wired USB Keyboard  (Black),249,2.0,1,www.amazon.in/Renewed-Quantum-QHM7403D-Spill-Resistant-Keyboard/dp/B0827M4QVJ?dchild=1
iBall Winner Soft Keys Water Resistant Wired Keyboard (Black),449,4.0,431,www.amazon.in/iBall-Winner-USB-V2-0-Keyboard/dp/B00MWQW86Y?dchild=1
Redgear Blaze 3 colour backlit gaming keyboard with full aluminium body & windows key lock,"1,099",4.3,"2,119",www.amazon.in/Redgear-Blaze-backlit-keyboard-aluminium/dp/B073QQR2H2?dchild=1
iBall Magical Duo 2 Wireless Deskset - Keyboard and Mouse,"1,099",3.9,"2,089",www.amazon.in/iBall-Magical-Duo-Wireless-Deskset/dp/B07VBNK7B6?dchild=1
"iBall Wintop Soft Key Keyboard and Mouse Combo with Water Resistant Design, Black",611,3.9,418,www.amazon.in/iBall-Wintop-V3-Keyboard-Mouse/dp/B01A6N89BW?dchild=1
Zebronics K25 Standard Keyboard with USB Input,315,3.9,65,www.amazon.in/Zebronics-ZEB-K25-USB-Multimedia-Keyboard/dp/B079M8Z1SB?dchild=1
Live Tech KB04 USB Multimedia Keyboard.,274,3.6,141,www.amazon.in/Live-Tech-Wired-Keyboard-Black/dp/B01FDY8ATK?dchild=1
Teconica QC45 Universal & Portable Mini 2.4GHz Wireless Bluetooth Keyboard with Smooth Touch pad for Both Gaming & Official Use Compatible for All Devices (Multi Color),429,N.A,N.A.,www.amazon.in/Teconica-Universal-Portable-Bluetooth-Compatible/dp/B089R84685?dchild=1
CLUSPEX USB to PS2 Adapter Cable for Keyboard and Mouse (White),199,N.A,N.A.,www.amazon.in/CLUSPEX-USB-PS2-Adapter-Keyboard/dp/B089RLVPX9?dchild=1
HP Wired Keyboard and Mouse 160 (6HD76AA),840,4.2,453,www.amazon.in/HP-Wired-Keyboard-Mouse-6HD76AA/dp/B07RX8KFNR?dchild=1
"Logitech MK270r Wireless Keyboard and Mouse Combo for Windows, 2.4 GHz Wireless, Compact Wireless Mouse, 8 Multimedia & Shortcut Keys, 2-Year Battery Life, PC/Laptop- Black","1,499",4.0,"1,761",www.amazon.in/Logitech-Wireless-mk270r-Keyboard-Mouse/dp/B00CEQEGPI?dchild=1
